dates,values
19-04-2023,165.539993
20-04-2023,165.559998
21-04-2023,164.490005
24-04-2023,163.889999
25-04-2023,163.729996
26-04-2023,162.800003
27-04-2023,165.190002
28-04-2023,167.880005
01-05-2023,168.639999
02-05-2023,167.539993
03-05-2023,167.160004
04-05-2023,164.309998
05-05-2023,170.759995
08-05-2023,172.110001
09-05-2023,171.600006
10-05-2023,171.899994
11-05-2023,172.169998
12-05-2023,171
15-05-2023,171.470001
16-05-2023,171.800003
17-05-2023,170.419998
18-05-2023,172.580002
19-05-2023,174.940002
22-05-2023,173.449997
23-05-2023,171.279999
24-05-2023,170.520004
25-05-2023,171.690002
26-05-2023,173.110001
30-05-2023,176.570007
31-05-2023,176.759995
01-06-2023,176.929993
02-06-2023,179.259995
05-06-2023,178.039993
06-06-2023,177.429993
07-06-2023,177.320007
08-06-2023,177.460007
09-06-2023,180.630005
12-06-2023,180.970001
13-06-2023,182.440002
14-06-2023,182.020004
15-06-2023,183.779999
16-06-2023,184.270004
20-06-2023,184.410004
21-06-2023,182.589996
22-06-2023,183.669998
23-06-2023,185.009995
26-06-2023,185.229996
27-06-2023,185.669998
28-06-2023,187.600006
29-06-2023,188.940002
30-06-2023,191.259995
03-07-2023,191.759995
05-07-2023,190.619995
06-07-2023,189.199997
07-07-2023,190.240005
10-07-2023,187.039993
11-07-2023,186.600006
12-07-2023,188.470001
13-07-2023,189.779999
14-07-2023,189.630005
17-07-2023,191.809998
18-07-2023,192.419998
19-07-2023,192.649994
20-07-2023,192.5
21-07-2023,191.229996
24-07-2023,192.25
25-07-2023,192.919998
26-07-2023,193.320007
27-07-2023,192.550003
28-07-2023,194.139999
31-07-2023,195.259995
01-08-2023,195.279999
02-08-2023,191.850006
03-08-2023,190.690002
04-08-2023,181.919998
07-08-2023,177.350006
08-08-2023,177.580002
09-08-2023,177.009995
10-08-2023,177.600006
11-08-2023,176.550003
14-08-2023,177.309998
15-08-2023,177.050003
16-08-2023,176.5
17-08-2023,173.479996
18-08-2023,171.960007
21-08-2023,173.740005
22-08-2023,176.25
23-08-2023,178.330002
24-08-2023,176.009995
25-08-2023,175.820007
28-08-2023,178.550003
29-08-2023,179.5
30-08-2023,184.740005
31-08-2023,187.479996
01-09-2023,188.279999
05-09-2023,187.610001
06-09-2023,181.470001
07-09-2023,173.539993
08-09-2023,177.789993
11-09-2023,177.339996
12-09-2023,174.820007
13-09-2023,173.979996
14-09-2023,173.580002
15-09-2023,173.820007
